k	Method	Error	Coverage	AveragePrecision	AverageRecall	AverageF1	WeightedAverageF1
31	mean	0.001	40	0.520073191137361	0.527057057057057	0.523036495140729	0.523036495140729
31	mean	0.01	40	0.488429468718473	0.4946996996997	0.491147880486226	0.491147880486226
31	median	0	40	0.528543469310433	0.535900900900901	0.531668533861852	0.531668533861852
31	median	0.001	40	0.522687344189342	0.529804804804805	0.525712187741392	0.525712187741392
31	median	0.01	40	0.467753309830802	0.473288288288288	0.470180033078994	0.470180033078994
35	coverage	0	40	0.55931924074223	0.567762762762763	0.562830170230158	0.562830170230158
35	coverage	0.001	40	0.555504312683921	0.563723723723724	0.558934436587231	0.558934436587231
35	coverage	0.01	40	0.519163857043931	0.526471471471471	0.522264799963124	0.522264799963124
35	mean	0	40	0.553714897490757	0.561936936936937	0.557142912867247	0.557142912867247
35	mean	0.001	40	0.550030820884669	0.558078078078078	0.553397789547175	0.553397789547175
35	mean	0.01	40	0.513581340553405	0.520690690690691	0.516616161461928	0.516616161461928
35	median	0	40	0.541370416003257	0.549054054054054	0.544604156589501	0.544604156589501
35	median	0.001	40	0.533227683788271	0.540735735735736	0.536388374489499	0.536388374489499
35	median	0.01	40	0.492618186827764	0.498963963963964	0.495356801596653	0.495356801596653
39	coverage	0	40	0.571488088743885	0.58045045045045	0.575183293637148	0.575183293637148
39	coverage	0.001	40	0.567570190144158	0.576066066066066	0.571078842628166	0.571078842628166
39	coverage	0.01	40	0.525687223742555	0.533243243243243	0.528873857984892	0.528873857984892
39	mean	0	40	0.56636182050083	0.57496996996997	0.569917452641084	0.569917452641084
39	mean	0.001	40	0.562953255875568	0.571336336336336	0.566428390787941	0.566428390787941
39	mean	0.01	40	0.521134212890218	0.528423423423423	0.524232861364428	0.524232861364428
39	median	0	40	0.56969368394959	0.578438438438438	0.573307162995207	0.573307162995207
39	median	0.001	40	0.56773587819526	0.576321321321321	0.57128829292638	0.57128829292638
39	median	0.01	40	0.519712023944774	0.527087087087087	0.522852957884202	0.522852957884202
43	coverage	0	40	0.578018664341866	0.587162162162162	0.581762682300034	0.581762682300034
43	coverage	0.001	40	0.573561068198748	0.582192192192192	0.577113132049161	0.577113132049161
43	coverage	0.01	40	0.525183348308407	0.532687687687688	0.528361031733299	0.528361031733299
43	mean	0	40	0.573237033514945	0.582177177177177	0.57690951995143	0.57690951995143
43	mean	0.001	40	0.569011465396844	0.577582582582583	0.572547882292559	0.572547882292559
43	mean	0.01	40	0.520375120234663	0.527777777777778	0.523517185758956	0.523517185758956
43	median	0	40	0.574469610933419	0.583183183183183	0.578047509992025	0.578047509992025
43	median	0.001	40	0.569940701535293	0.578468468468468	0.573454900045433	0.573454900045433
43	median	0.01	40	0.524352923102582	0.531906906906907	0.52754827228222	0.52754827228222
47	coverage	0	40	0.581738668456544	0.591021021021021	0.585538493004321	0.585538493004321
47	coverage	0.001	40	0.577569414302974	0.586351351351351	0.581175207977295	0.581175207977295
47	coverage	0.01	40	0.52121139701249	0.528633633633634	0.524364742516843	0.524364742516843
47	mean	0	40	0.577336848333215	0.586411411411411	0.581063350204769	0.581063350204769
47	mean	0.001	40	0.573386128071313	0.582072072072072	0.576961504524073	0.576961504524073
47	mean	0.01	40	0.517680759090971	0.52493993993994	0.520769021569184	0.520769021569184
47	median	0	40	0.56588472808617	0.574354354354354	0.56938731811844	0.56938731811844
47	median	0.001	40	0.56157684022202	0.569684684684685	0.564942296442417	0.564942296442417
47	median	0.01	40	0.49845595922707	0.50512012012012	0.501300626974058	0.501300626974058
51	coverage	0	40	0.587814183513798	0.597102102102102	0.591605458686542	0.591605458686542
51	coverage	0.001	40	0.581990408706261	0.590945945945946	0.585659965067371	0.585659965067371
51	coverage	0.01	40	0.516947666017053	0.524204204204204	0.52004902600387	0.52004902600387
51	mean	0	40	0.583444035389992	0.592582582582583	0.587178951641706	0.587178951641706
51	mean	0.001	40	0.578047621583179	0.586891891891892	0.581682298737661	0.581682298737661
51	mean	0.01	40	0.512568166012646	0.519744744744745	0.51564124746184	0.51564124746184
51	median	0	40	0.587814183513798	0.597102102102102	0.591605458686542	0.591605458686542
51	median	0.001	40	0.581968775091766	0.590975975975976	0.585658562890693	0.585658562890693
51	median	0.01	40	0.517004403609572	0.524324324324324	0.520128182748972	0.520128182748972
55	coverage	0	40	0.606897785561806	0.613528528528529	0.609626720430396	0.609626720430396
55	coverage	0.001	40	0.601082221554441	0.607552552552553	0.603754695070456	0.603754695070456
55	coverage	0.01	40	0.525157725863201	0.53018018018018	0.527335136185715	0.527335136185715
55	mean	0	40	0.602974413020749	0.609534534534535	0.605685558568684	0.605685558568684
55	mean	0.001	40	0.59712727559744	0.603528528528529	0.599778593626206	0.599778593626206
55	mean	0.01	40	0.521181022431824	0.526186186186186	0.523353156119079	0.523353156119079
55	median	0	40	0.596477144591706	0.602447447447447	0.598946015951086	0.598946015951086
55	median	0.001	40	0.587787088649903	0.593573573573574	0.590186171815758	0.590186171815758
55	median	0.01	40	0.49463306032955	0.499069069069069	0.496592464014218	0.496592464014218
59	coverage	0	40	0.624283432945906	0.631276276276276	0.627132337610388	0.627132337610388
59	coverage	0.001	40	0.617019972059078	0.623723723723724	0.619760031040994	0.619760031040994
59	coverage	0.01	40	0.533541990039842	0.538948948948949	0.535891883317107	0.535891883317107
59	mean	0	40	0.620633301765963	0.627567567567568	0.623469041419164	0.623469041419164
59	mean	0.001	40	0.614478256112119	0.621051051051051	0.617166651508534	0.617166651508534
59	mean	0.01	40	0.529967733914937	0.535165165165165	0.532226698573848	0.532226698573848
59	median	0	40	0.624238631188318	0.631246246246246	0.627078405961475	0.627078405961475
59	median	0.001	40	0.618080139851028	0.625015015015015	0.620911966125264	0.620911966125264
59	median	0.01	40	0.520926192525499	0.525660660660661	0.522999477890574	0.522999477890574
63	coverage	0	40	0.640882887251701	0.646846846846847	0.643341075928167	0.643341075928167
