Aligner,Frag,Allele,Graph,Path,Coverage,Error,MeanDiff,MeanDiffNo0,NumReads,NumReadsNo0,NumReadsYesMapRef,NumReadsYesMapGraph,NumReadsSpurious,TotalZnfReads,NumReadsNoMapGraph,NumReadsNoMapRef,PropReadsDiff,PropReadsDiffTotal,PropReadsNoMapRef,PropReadsNoMapGraph,PropReadsYesMapRef,PropReadsYesMapGraph,PropReadsSpuriousTotal
mg,none,L3,znf-loop,path,100,0,-0.0149535380851201,-0.0158139316355713,31062,29372,31062,31062,12283,86524,43179,43179,0.945592685596549,0.339466506402848,0.499040728583977,0.499040728583977,0.358998659331515,0.358998659331515,0.141960612084508
mg,none,L3,znf-msa,nopath,100,0,-7.4949553185356e-07,-0.0026,3469,1,31062,3469,12283,86524,70772,43179,0.000288267512251369,1.15574869400398e-05,0.499040728583977,0.817946465720494,0.358998659331515,0.0400929221949979,0.141960612084508
mg,none,L3,znf-msa,path,100,0,-7.4949553185356e-07,-0.0026,3469,1,31062,3469,12283,86524,70772,43179,0.000288267512251369,1.15574869400398e-05,0.499040728583977,0.817946465720494,0.358998659331515,0.0400929221949979,0.141960612084508
vg,fixedfrag,L3,allele-msa-dag,nopath,100,0,0.000716941460037437,0.00523742624332678,77998,10677,86524,77998,0,86524,8526,0,0.136888125336547,0.123399288058804,0,0.098539133650779,1,0.901460866349221,0
vg,fixedfrag,L3,allele-msa-dag,path,100,0,0.00115635405105438,0.01000300030003,86496,9999,86496,86496,28,86524,0,0,0.115600721420644,0.115563311913458,0,0,0.999676390365679,0.999676390365679,0.000323609634321113
vg,fixedfrag,L3,stacked,nopath,100,0,0.00115540196939577,0.01,86524,9997,86524,86524,0,86524,0,0,0.115540196939577,0.115540196939577,0,0,1,1,0
vg,fixedfrag,L3,stacked,path,100,0,0.00111646781354051,0.00963964863246157,86496,10018,86496,86496,28,86524,0,0,0.115820384757677,0.115782904165318,0,0,0.999676390365679,0.999676390365679,0.000323609634321113
vg,fixedfrag,L3,znf-loop,nopath,100,0,0.00122798392350143,0.00999000099990001,81361,10001,86524,81361,0,86524,5163,0,0.122921301360603,0.115586426887338,0,0.0596713050714253,1,0.940328694928575,0
vg,fixedfrag,L3,znf-loop,path,100,0,0.00115196078431373,0.00994510430182653,86496,10019,86496,86496,28,86524,0,0,0.115831945985942,0.115794461652258,0,0,0.999676390365679,0.999676390365679,0.000323609634321113
vg,fixedfrag,L3,znf-msa,nopath,100,0,0.00125443772030676,0.01,79151,9929,86524,79151,0,86524,7373,0,0.125443772030676,0.114754287827655,0,0.0852133512089131,1,0.914786648791087,0
vg,fixedfrag,L3,znf-msa,path,100,0,0.00115714169768224,0.0100140477623921,86247,9966,86496,86247,28,86524,249,0,0.115551845281575,0.115181914844436,0,0.0028778142480699,0.999676390365679,0.996798576117609,0.000323609634321113
vg,frag,L3,allele-msa-dag,nopath,100,0,0.000716941460037437,0.00523742624332678,77998,10677,86524,77998,0,86524,8526,0,0.136888125336547,0.123399288058804,0,0.098539133650779,1,0.901460866349221,0
vg,frag,L3,allele-msa-dag,path,100,0,0.0011322128722027,0.00971629798631088,86512,10081,86524,86512,0,86524,12,0,0.116527186979841,0.116511025842541,0,0.000138689843280477,1,0.99986131015672,0
vg,frag,L3,stacked,nopath,100,0,0.00115540196939577,0.01,86524,9997,86524,86524,0,86524,0,0,0.115540196939577,0.115540196939577,0,0,1,1,0
vg,frag,L3,stacked,path,100,0,0.00114014608663492,0.00982569721115538,86524,10040,86524,86524,0,86524,0,0,0.116037168877999,0.116037168877999,0,0,1,1,0
vg,frag,L3,znf-loop,nopath,100,0,0.00122798392350143,0.00999000099990001,81361,10001,86524,81361,0,86524,5163,0,0.122921301360603,0.115586426887338,0,0.0596713050714253,1,0.940328694928575,0
vg,frag,L3,znf-loop,path,100,0,0.00113659218845723,0.00977046899841017,86513,10064,86524,86513,0,86524,11,0,0.116329337787385,0.11631454856456,0,0.000127132356340437,1,0.99987286764366,0
vg,frag,L3,znf-msa,nopath,100,0,0.00125443772030676,0.01,79151,9929,86524,79151,0,86524,7373,0,0.125443772030676,0.114754287827655,0,0.0852133512089131,1,0.914786648791087,0
vg,frag,L3,znf-msa,path,100,0,0.00116650431394378,0.0100811785929044,86232,9978,86524,86232,0,86524,292,0,0.115711104926245,0.115320604687717,0,0.00337478618649161,1,0.996625213813508,0
vg,none,L3,allele-msa-dag,nopath,100,0,0.000820662068258161,0.00621275356692226,77998,10303,86524,77998,0,86524,8526,0,0.132093130593092,0.11907678794323,0,0.098539133650779,1,0.901460866349221,0
vg,none,L3,allele-msa-dag,path,100,0,0.00112363316919805,0.00966686555290374,86514,10056,86523,86514,1,86524,9,0,0.116235522574381,0.11622208866904,0,0.000104017382460358,0.99998844251306,0.9998844251306,1.15574869400398e-05
vg,none,L3,stacked,nopath,100,0,0.00115540196939577,0.01,86524,9997,86524,86524,0,86524,0,0,0.115540196939577,0.115540196939577,0,0,1,1,0
vg,none,L3,stacked,path,100,0,0.00113426487754701,0.00978172032293432,86523,10033,86523,86523,1,86524,0,0,0.115957606647943,0.115956266469419,0,0,0.99998844251306,0.99998844251306,1.15574869400398e-05
vg,none,L3,znf-loop,nopath,100,0,0.00122786101449097,0.0099880023995201,81361,10002,86524,81361,0,86524,5163,0,0.122933592261649,0.115597984374278,0,0.0596713050714253,1,0.940328694928575,0
